,JPM,BAC,C,WFC,GS,MS,USB,PNC,TFC,COF,SCHW,BK,STT,AXP,CFG,FITB,MTB,HBAN,ALLY,KEY,RF,SYF,ZION,FHN,WAL,CMA,WBS,EWBC,WTFC,VLY,SNV,ONB,PNFP,CFR,COLB,UMBF,BOKF,FNB,ASB,SF,PB,SOFI,HWC,CBSH,TCBI,BOH,CATY,WSFS,IBOC
RF,2.229888252787071,1.7609414986249432,1.2059941270412202,0.957065482157427,0.811350069557315,0.5554722313535736,0.27695218708291747,0.21966491626861154,0.20598955532142457,0.1867709295910105,0.18199185235787144,0.15282783316472315,0.12490637842232839,0.08999707759203392,0.06807547976136699,0.066258344557717,0.06435515498320334,0.06283700981220126,0.05801852830514772,0.05621954156762302,0.04495528096797383,0.03138555834913934,0.021116279324043516,0.019004905892684353,0.01862117052516199,0.018110884764996234,0.01802662848530878,0.0170802785894443,0.013726149838987886,0.013023925536141697,0.01236694220931262,0.010467703349718254,0.010200306678273721,0.010180866140163117,0.009920569299143901,0.009598591780690693,0.009401579808091571,0.00911041741303246,0.007619838028482531,0.006815420399227082,0.0067315067816147035,0.005900457049680002,0.005613546721617215,0.004874199749328639,0.0045764460395708705,0.002992405562884577,0.0028771084059972273,0.0024191906853097303,0.001461408406380705
SYF,1.5567979192426191,1.2294024409253959,0.8419655761897363,0.6681758825086248,0.5664445733930662,0.38780329592187535,0.19335434770844964,0.15335920270899475,0.14381174065978083,0.1303942447335093,0.12705772888651493,0.10669685011158178,0.0872034685078814,0.0628315176592724,0.04752694002108769,0.04625830590882264,0.04492959288213894,0.04386969885365107,0.04050567288745559,0.039249709138499525,0.03138555834913933,0.02191184776687265,0.014742344004336955,0.013268287283971801,0.013000382190094585,0.012644125858122671,0.012585302282216297,0.011924607493176581,0.009582920346721622,0.009092661997611008,0.008633988665032009,0.007308033832512621,0.007121350674198768,0.0071077782500014045,0.006926051842869719,0.006701263031078655,0.006563718995576047,0.006360443782020758,0.0053197948250907805,0.004758190139357435,0.004699605793199375,0.004119407887835271,0.003919101257590865,0.0034029256929101826,0.0031950487487546644,0.002089149870181225,0.002008655085874221,0.001688959534377592,0.0010202832197414161
ZION,1.0474173933158126,0.8271449261935288,0.5664764695364818,0.44955034464213395,0.3811052746074422,0.26091499244255373,0.13008927129192893,0.10318044131289274,0.09675688582841833,0.0877295622212812,0.08548474631549174,0.07178589798812823,0.058670703848999715,0.04227319656026292,0.03197623982782739,0.031122699738573772,0.030228738410856385,0.029515639153214875,0.027252314372903392,0.02640729893463076,0.0211162793240435,0.014742344004336947,0.00991868458810623,0.008926935672874087,0.00874668847982708,0.008506998360785932,0.008467421717099676,0.008022904670179425,0.00644741191252322,0.006117564913288681,0.005808968389324223,0.00491686278129025,0.004791261902306426,0.0047821303425849854,0.004659864377746647,0.0045086259232352864,0.004416085964547284,0.004279321910795607,0.003579170783695761,0.0032013217971741557,0.003161906107839319,0.0027715475583241613,0.0026367807745809385,0.00228949661022762,0.0021496365010339,0.001405585069342751,0.001351427984397919,0.0011363360466041127,0.0006864490100200814
FHN,0.9426882778379541,0.7444404026243581,0.5098356499623811,0.40460072832146854,0.3429993403654761,0.23482663784027172,0.11708191204574253,0.09286364074964662,0.0870823633946028,0.07895766334760623,0.07693730197706151,0.06460817337895358,0.05280434058466879,0.03804638639610985,0.028779001234266518,0.028010804866764022,0.027206228897472724,0.026564430971064878,0.024527411390374676,0.023766887311497245,0.019004905892684342,0.013268287283971798,0.008926935672874088,0.008034349696248094,0.007872125050101344,0.007656401054132199,0.007620781597822528,0.00722071089811388,0.005802748427814051,0.005505882153067484,0.005228141562182416,0.004425235762971995,0.004312193458099277,0.004303974944293115,0.004193934102344927,0.00405781767050408,0.003974530592359786,0.0038514412956533743,0.0032212968427885852,0.002881228200946325,0.002845753605492811,0.002494426206186571,0.0023731344765595902,0.0020605745430470938,0.0019346987591280624,0.0012650435030287322,0.0012163014738575837,0.001022716137477233,0.000617812382350124
WAL,0.9236540960957325,0.7294091200117188,0.49954136218115996,0.3964312793350351,0.33607370870603503,0.23008516283984226,0.1147178661092463,0.09098859524751407,0.08532404988804623,0.07736339878589306,0.0753838313091688,0.06330364489054552,0.051738147826048825,0.037278177169026594,0.02819791334685905,0.027445227927796783,0.026656897461483454,0.026028058323956542,0.02403216898941753,0.02328700094484859,0.018621170525161983,0.013000382190094584,0.008746688479827083,0.007872125050101346,0.007713175944205197,0.0075018077144442105,0.007466907464282421,0.007074914746009436,0.005685582901546216,0.0053947107679802545,0.005122578144233829,0.004335884124954633,0.004225124300755635,0.004217071730124025,0.004109252765156754,0.003975884712565624,0.0038942793158630606,0.0037736753625083304,0.0031562543987561776,0.002823052213711812,0.002788293899464894,0.0024440602868606104,0.002325217605216748,0.0020189686895875523,0.001895634512055687,0.0012395005228999344,0.001191742662794573,0.0010020660824281867,0.0006053378948183414
CMA,0.8983427155936559,0.7094207370701593,0.48585216668239123,0.385567663835912,0.3268641035586543,0.22378001773288234,0.11157419190073993,0.0884951867676576,0.08298586993320882,0.07524336875313425,0.07331804840836632,0.06156890171150714,0.05032034006486062,0.03625662361262764,0.027425191050597007,0.026693131867179427,0.025926404436546424,0.02531479770967175,0.023373602783569942,0.022648854972066382,0.018110884764996223,0.012644125858122664,0.008506998360785932,0.007656401054132197,0.007501807714444207,0.0072962317197982325,0.007262287859604503,0.006881037124600136,0.005529777873662465,0.005246876662632612,0.0049822014327480105,0.004217065604727699,0.0041093409904265354,0.004101509088636365,0.0039966447436498445,0.003866931446166958,0.003787562325204081,0.0036702633456120607,0.003069761894272128,0.0027456906244972675,0.00271188481067365,0.0023770844133683203,0.002261498440429253,0.0019636418254076167,0.0018436874394120153,0.0012055338361280595,0.001159084709859533,0.0009746059368955931,0.0005887495011189701
WBS,0.8941634048596752,0.7061203377349383,0.48359186319231207,0.38377390845929005,0.3253434515481875,0.22273893818280951,0.1110551213837181,0.08808348544527385,0.08259979930452742,0.07489331813967429,0.07297695485755469,0.061282468073947924,0.05008623749607466,0.03608794890350839,0.027297602332672703,0.026568948868197412,0.02580578844169909,0.02519702705938416,0.023264863048378097,0.022543486941520738,0.018026628485308775,0.012585302282216297,0.008467421717099681,0.00762078159782253,0.007466907464282421,0.007262287859604507,0.007228501914577003,0.006849024851537114,0.005504051990185294,0.00522246690500295,0.0049590230092295675,0.00419744678081806,0.004090223327854375,0.004082427861993002,0.003978051371669302,0.003848941532273291,0.0037699416559354645,0.0036531883799774635,0.0030554806087306537,0.0027329169980182364,0.0026992684571352592,0.002366025633426187,0.002250977394793879,0.0019545064818286394,0.0018351101530691876,0.0011999253969276842,0.0011536923633915063,0.00097007183094386,0.0005860104939817816
EWBC,0.8472222119591609,0.6690509041119042,0.4582045807203886,0.36362680227124494,0.30826378844070523,0.21104573825215944,0.10522502383428725,0.08345933748846374,0.07826353023824185,0.07096161877169832,0.06914585944854698,0.05806530201722449,0.04745684367030834,0.03419342787786952,0.025864551047129865,0.025174149945307388,0.024451053404894757,0.02387425037082168,0.02204351981489009,0.021360014028828433,0.017080278589444293,0.01192460749317658,0.00802290467017943,0.007220710898113882,0.007074914746009436,0.0068810371246001405,0.006849024851537114,0.006489469321765825,0.0052151039469064565,0.0049483013273558,0.004698687533175427,0.003977092024677101,0.0038754975168946585,0.003868111292190727,0.0037692142891060884,0.003646882371780589,0.0035720297781588035,0.0034614057376612627,0.002895076029569068,0.0025894461477375757,0.002557564065468118,0.0022418156008274476,0.002132807087745472,0.001851900106651362,0.0017387717665721112,0.0011369325152940995,0.0010931265926571183,0.0009191456482168483,0.0005552465066722791
WTFC,0.6808494936058618,0.5376664620345103,0.3682249501343348,0.29221982225346804,0.24772868474675416,0.16960176679549147,0.08456152728405172,0.06707006363100446,0.06289457969626815,0.057026576409557043,0.05556738565862181,0.04666276558434282,0.03813753643963656,0.027478715414531927,0.020785416428187545,0.02023059239982104,0.01964949347864236,0.01918595977034776,0.017714737752864956,0.017165454977050302,0.013726149838987883,0.009582920346721624,0.006447411912523225,0.005802748427814054,0.005685582901546217,0.005529777873662468,0.005504051990185296,0.0052151039469064565,0.004190991254988896,0.003976581828690076,0.003775985783206632,0.0031960931297630364,0.0031144491782702398,0.0031085134187040435,0.0030290372511545555,0.002930728185614009,0.002870574722044366,0.0027816744065306646,0.0023265573315464304,0.00208094532168824,0.0020553240628710706,0.0018015805004114598,0.0017139784641535052,0.0014882344112609265,0.0013973215763892857,0.0009136681219818394,0.0008784645592997935,0.0007386490112096337,0.0004462103301329261
VLY,0.6460175074627024,0.5101596621747617,0.34938670984613746,0.2772699737258849,0.2350549849123569,0.16092500864797676,0.08023539357276253,0.06363878616225985,0.05967691830555784,0.05410911970591823,0.05272458056667418,0.04427551727249164,0.03618643542057836,0.02607291539038609,0.019722042887036696,0.01919560343271989,0.01864423329853509,0.0182044137882473,0.016808458897211293,0.01628727720719539,0.013023925536141694,0.009092661997611008,0.006117564913288684,0.005505882153067486,0.0053947107679802545,0.005246876662632615,0.00522246690500295,0.0049483013273558,0.003976581828690076,0.0037731415023699454,0.0035828078698606916,0.0030325822912390097,0.0029551152114539515,0.002949483122958822,0.002874072924162772,0.0027807933108591944,0.0027237172742821513,0.0026393650631397936,0.002207531594588764,0.0019744849963293475,0.0019501745108041776,0.0017094123669025801,0.0016262920155716266,0.0014120969375936222,0.0013258351667739105,0.0008669252284889332,0.000833522665909034,0.0007008600250023436,0.00042338238918255503
